,0,1,2,3,4
115,-2.71,-5.24,1.92,2500,0
116,2.66,-3.41,0.03,2504.883,263.936
117,-7.89,13.11,-5.4,2509.766,527.872
118,-3.07,-10.67,2.65,2504.883,263.936
119,6.86,11.1,-2.04,2519.531,1055.743
120,6.93,0.43,4.42,2529.297,1583.615
121,-3.68,-11.64,2.35,2524.414,1319.679
122,7.96,-5.36,1.37,2495.117,-263.936
123,7.05,11.77,-0.95,2500,0
124,5.89,14.88,-1.43,2495.117,-263.936
125,-7.46,-0.36,-0.46,2495.117,-263.936
126,-6.61,-14.02,0.58,2504.883,263.936
127,3.57,-2.62,0.21,2504.883,263.936
128,1.32,16.71,-2.47,2504.883,263.936
129,-2.1,6.41,-0.09,2509.766,527.872
130,-6.31,-6.46,1.74,2504.883,263.936
131,-2.1,-16.64,3.51,2509.766,527.872
132,0.83,-9.93,1.19,2480.469,-1055.743
133,10.71,4.15,0.34,2529.297,1583.615
134,9.18,8.85,2.96,2514.648,791.807
135,-3.01,4.09,-0.15,2514.648,791.807
136,-1.31,-11.21,3.81,2504.883,263.936
137,-6.92,-10.18,-0.95,2509.766,527.872
138,6.62,1.29,-0.64,2495.117,-263.936
139,-6.31,6.47,-2.35,2519.531,1055.743
140,-7.59,-9.32,-0.27,2514.648,791.807
141,4.12,-4.32,1.13,2504.883,263.936
142,-8.87,16.04,-5.52,2519.531,1055.743
143,5.04,7.14,-1.55,2495.117,-263.936
144,2.35,8.48,1.31,2504.883,263.936
145,3.39,-14.39,6.01,2504.883,263.936
146,1.99,-7.92,1.37,2524.414,1319.679
147,4.36,14.15,-2.41,2519.531,1055.743
148,-14.05,6.71,-3.45,2529.297,1583.615
149,-8.93,-9.14,1.25,2500,0
150,-4.84,-14.75,1.19,2500,0
151,6.68,-7.8,2.16,2504.883,263.936
152,2.66,-4.2,-0.15,2495.117,-263.936
153,5.58,8.91,-2.29,2529.297,1583.615
154,6.8,14.15,-0.27,2500,0
155,-6.37,-0.85,1.86,2480.469,-1055.743
156,7.78,-18.71,5.82,2504.883,263.936
157,8.08,-3.04,1.37,2514.648,791.807
158,0.58,14.64,-2.29,2500,0
159,6.8,4.52,2.1,2548.828,2639.358
160,-7.4,-3.65,-0.03,2509.766,527.872
161,-2.46,-14.99,1.8,2500,0
162,2.78,-2.92,-0.64,2500,0
163,5.83,7.57,-1.98,2514.648,791.807
164,-0.03,11.04,-1.86,2514.648,791.807
165,-12.77,7.08,-3.99,2500,0
166,-5.09,-11.34,2.04,2509.766,527.872
167,8.27,-2.13,0.82,2495.117,-263.936
168,5.65,12.32,-1.43,2519.531,1055.743
169,0.77,7.57,-0.7,2519.531,1055.743
170,-4.78,-7.62,2.29,2504.883,263.936
171,1.99,-14.32,3.2,2509.766,527.872
172,4.43,-2.74,0.27,2524.414,1319.679
173,-1.61,13.97,-5.15,2504.883,263.936
174,2.84,17.32,-1.98,2519.531,1055.743
175,-7.22,-1.34,0.82,2500,0
176,-7.53,-6.64,-0.95,2509.766,527.872
177,1.44,-5.12,-0.15,2514.648,791.807
178,5.04,11.9,-1.25,2509.766,527.872
179,-8.75,7.44,-2.41,2495.117,-263.936
180,-2.71,-10.91,2.84,2524.414,1319.679
181,2.23,-5.06,0.82,2514.648,791.807
182,1.13,8.42,-4.12,2509.766,527.872
183,1.44,13.36,-2.96,2514.648,791.807
184,-8.81,0.92,-0.27,2495.117,-263.936
185,-0.39,-8.84,3.69,2529.297,1583.615
186,2.05,-12.74,1.43,2485.352,-791.807
187,0.4,9.03,-3.75,2519.531,1055.743
188,-1.61,22.14,-5.21,2495.117,-263.936
189,-4.72,0.61,0.88,2504.883,263.936
190,-13.38,-10.54,-0.34,2509.766,527.872
191,2.84,-16.95,2.96,2509.766,527.872
192,9.67,7.2,-1.86,2529.297,1583.615
193,-8.93,18.24,-6.01,2509.766,527.872
194,-4.29,5.55,-1.37,2500,0
195,-6,-10.3,2.53,2500,0
196,10.22,-15.24,6.07,2529.297,1583.615
197,9.73,-0.73,1.55,2504.883,263.936
198,1.13,15.13,-3.38,2519.531,1055.743
199,-5.33,-0.85,1.62,2495.117,-263.936
200,-3.75,-17.07,2.59,2529.297,1583.615
201,-0.21,1.29,-2.29,2509.766,527.872
202,5.46,16.71,-3.87,2500,0
203,2.47,15.98,-1.49,2504.883,263.936
204,-11.06,3.72,-3.14,2519.531,1055.743
205,-4.54,-12.43,2.1,2504.883,263.936
206,-6.12,-13.47,3.93,2514.648,791.807
207,-12.83,-6.58,-1.37,2534.18,1847.551
208,-8.2,0.74,-1.49,2514.648,791.807
209,-5.03,-1.34,-0.27,2500,0
210,-6.98,3.97,-1.19,2509.766,527.872
211,6.62,16.16,-2.23,2509.766,527.872
212,-0.39,6.83,-0.27,2524.414,1319.679
213,-15.76,17.99,-7.35,2529.297,1583.615
214,4.73,15.68,-3.02,2514.648,791.807
215,2.72,13.85,-2.96,2514.648,791.807
216,12.11,8.18,1.62,2514.648,791.807
217,6.68,15.43,-2.41,2514.648,791.807
218,-1.67,8.91,-1.31,2509.766,527.872
219,9.49,7.87,4.18,2529.297,1583.615
220,-1.37,6.83,0.03,2514.648,791.807
221,-2.04,5,0.88,2509.766,527.872
222,0.1,0.13,1.07,2509.766,527.872
223,-4.17,2.2,0.34,2504.883,263.936
224,-3.68,11.9,-2.35,2539.062,2111.487
225,6.19,0.55,1.68,2509.766,527.872
226,-2.46,-18.35,3.81,2514.648,791.807
227,-5.15,-13.35,1.13,2504.883,263.936
228,-2.59,-18.41,7.1,2509.766,527.872
229,-2.53,-10.12,3.57,2509.766,527.872
230,-8.01,-0.06,0.58,2514.648,791.807
231,5.28,10.92,0.03,2490.234,-527.872
232,5.58,10.55,-3.57,2504.883,263.936
233,7.35,0.74,0.46,2519.531,1055.743
234,0.4,-8.41,0.34,2504.883,263.936
235,2.84,-4.87,0.34,2504.883,263.936
236,-1.85,3.3,-3.51,2524.414,1319.679
237,1.99,-4.63,1.07,2500,0
238,0.16,-8.47,0.09,2509.766,527.872
239,4.3,-4.63,1.8,2495.117,-263.936
