,0
264,"['2.97', '-6.75', '3.50', '2592.773', '5014.780', '30.00']"
265,"['0.90', '0.14', '-1.08', '2563.477', '3431.166', '30.00']"
266,"['-4.40', '6.17', '-6.62', '2587.891', '4750.845', '30.00']"
267,"['-2.94', '8.37', '-5.22', '2587.891', '4750.845', '30.00']"
268,"['0.53', '0.81', '-4.98', '2568.359', '3695.101', '30.00']"
269,"['2.12', '-0.35', '3.25', '2578.125', '4222.973', '30.00']"
270,"['2.67', '-0.90', '3.62', '2563.477', '3431.166', '30.00']"
271,"['1.33', '-3.09', '2.22', '2578.125', '4222.973', '30.00']"
272,"['-1.36', '2.76', '-2.48', '2573.242', '3959.037', '30.00']"
273,"['-1.72', '-1.02', '-2.48', '2573.242', '3959.037', '30.00']"
274,"['-2.94', '4.22', '-3.58', '2587.891', '4750.845', '30.00']"
275,"['0.60', '2.58', '-2.17', '2543.945', '2375.422', '30.00']"
276,"['-0.32', '3.55', '0.57', '2592.773', '5014.780', '30.00']"
277,"['3.89', '-4.25', '2.03', '2568.359', '3695.101', '30.00']"
278,"['6.08', '-8.03', '4.17', '2568.359', '3695.101', '30.00']"
279,"['-0.81', '-0.23', '-3.70', '2583.008', '4486.909', '30.00']"
280,"['-4.65', '5.44', '-5.34', '2553.711', '2903.294', '30.00']"
281,"['-3.98', '7.33', '-3.94', '2573.242', '3959.037', '30.00']"
282,"['-1.97', '4.41', '0.81', '2563.477', '3431.166', '30.00']"
283,"['4.25', '-7.79', '3.92', '2568.359', '3695.101', '30.00']"
284,"['2.30', '-1.94', '3.44', '2563.477', '3431.166', '30.00']"
285,"['3.83', '-6.63', '5.69', '2558.594', '3167.229', '30.00']"
286,"['-0.44', '3.92', '2.52', '2583.008', '4486.909', '30.00']"
287,"['-1.05', '2.82', '-2.78', '2578.125', '4222.973', '30.00']"
288,"['-2.03', '3.61', '-5.34', '2597.656', '5278.716', '30.00']"
289,"['-3.67', '6.97', '-4.49', '2578.125', '4222.973', '30.00']"
290,"['0.41', '-2.42', '-1.62', '2578.125', '4222.973', '30.00']"
291,"['3.58', '-2.24', '5.08', '2563.477', '3431.166', '30.00']"
292,"['4.92', '-9.25', '6.36', '2563.477', '3431.166', '30.00']"
293,"['1.33', '-4.07', '2.16', '2578.125', '4222.973', '30.00']"
294,"['-3.19', '6.17', '-1.81', '2568.359', '3695.101', '30.00']"
295,"['-5.32', '3.98', '-3.03', '2553.711', '2903.294', '30.00']"
296,"['-2.64', '4.65', '-3.03', '2553.711', '2903.294', '30.00']"
297,"['-2.27', '7.82', '-3.21', '2578.125', '4222.973', '30.00']"
298,"['3.03', '-3.40', '1.00', '2543.945', '2375.422', '30.00']"
299,"['4.44', '-2.30', '4.84', '2583.008', '4486.909', '30.00']"
300,"['3.89', '-10.96', '4.72', '2568.359', '3695.101', '30.00']"
301,"['-3.43', '5.14', '0.27', '2563.477', '3431.166', '30.00']"
302,"['-3.12', '0.14', '-4.67', '2563.477', '3431.166', '30.00']"
303,"['-2.76', '4.95', '-1.44', '2587.891', '4750.845', '30.00']"
304,"['1.94', '-0.17', '1.36', '2563.477', '3431.166', '30.00']"
305,"['-0.38', '-3.64', '2.40', '2568.359', '3695.101', '30.00']"
306,"['-0.93', '-3.76', '-0.59', '2578.125', '4222.973', '30.00']"
307,"['4.44', '-9.56', '1.85', '2617.187', '6334.459', '30.00']"
308,"['-0.50', '2.58', '-0.59', '2578.125', '4222.973', '30.00']"
309,"['-3.92', '0.87', '-8.70', '2592.773', '5014.780', '30.00']"
310,"['-5.20', '13.25', '-4.86', '2558.594', '3167.229', '30.00']"
311,"['-0.44', '1.91', '-2.36', '2578.125', '4222.973', '30.00']"
312,"['3.52', '-5.65', '9.60', '2578.125', '4222.973', '30.00']"
313,"['1.27', '-4.25', '4.35', '2568.359', '3695.101', '30.00']"
314,"['0.41', '-2.61', '1.97', '2568.359', '3695.101', '30.00']"
315,"['-0.44', '2.33', '0.20', '2583.008', '4486.909', '30.00']"
316,"['-5.08', '8.98', '-2.97', '2568.359', '3695.101', '30.00']"
317,"['-3.25', '6.60', '-3.15', '2573.242', '3959.037', '30.00']"
318,"['-3.25', '3.06', '-4.55', '2568.359', '3695.101', '30.00']"
319,"['2.97', '-3.58', '5.39', '2578.125', '4222.973', '30.00']"
320,"['3.70', '-7.30', '4.72', '2587.891', '4750.845', '30.00']"
321,"['-1.48', '1.78', '-0.89', '2573.242', '3959.037', '30.00']"
322,"['-2.51', '7.09', '-4.12', '2568.359', '3695.101', '30.00']"
323,"['-3.49', '7.64', '-3.70', '2587.891', '4750.845', '30.00']"
324,"['4.38', '-2.18', '5.39', '2568.359', '3695.101', '30.00']"
325,"['2.73', '-4.92', '1.55', '2583.008', '4486.909', '30.00']"
326,"['5.05', '-6.94', '3.56', '2602.539', '5542.652', '30.00']"
327,"['3.10', '-3.83', '3.80', '2587.891', '4750.845', '30.00']"
328,"['-0.32', '1.30', '0.81', '2578.125', '4222.973', '30.00']"
329,"['-1.48', '2.15', '-4.80', '2568.359', '3695.101', '30.00']"
330,"['-5.32', '10.69', '-9.31', '2587.891', '4750.845', '30.00']"
331,"['-0.14', '-0.29', '-4.49', '2558.594', '3167.229', '30.00']"
332,"['1.33', '-3.52', '1.06', '2583.008', '4486.909', '30.00']"
333,"['7.00', '-5.29', '9.29', '2587.891', '4750.845', '30.00']"
334,"['3.52', '-7.48', '4.53', '2558.594', '3167.229', '30.00']"
335,"['-2.21', '2.39', '0.02', '2578.125', '4222.973', '30.00']"
336,"['-1.72', '5.99', '-0.77', '2573.242', '3959.037', '30.00']"
337,"['-3.19', '6.48', '-4.98', '2587.891', '4750.845', '30.00']"
338,"['-2.58', '6.78', '-4.37', '2578.125', '4222.973', '30.00']"
339,"['-3.61', '2.70', '-6.56', '2583.008', '4486.909', '30.00']"
340,"['4.13', '-5.23', '6.06', '2592.773', '5014.780', '30.00']"
341,"['5.53', '-7.18', '5.20', '2573.242', '3959.037', '30.00']"
342,"['2.49', '-4.44', '-0.28', '2583.008', '4486.909', '30.00']"
343,"['-0.75', '3.06', '-2.48', '2578.125', '4222.973', '30.00']"
344,"['-3.80', '0.56', '-4.98', '2578.125', '4222.973', '30.00']"
345,"['-2.76', '4.89', '-0.10', '2578.125', '4222.973', '30.00']"
346,"['2.49', '1.54', '1.30', '2573.242', '3959.037', '30.00']"
347,"['0.72', '-4.37', '-0.34', '2583.008', '4486.909', '30.00']"
348,"['-1.78', '3.06', '-0.83', '2592.773', '5014.780', '30.00']"
349,"['3.10', '-8.46', '5.08', '2587.891', '4750.845', '30.00']"
350,"['5.41', '-7.00', '4.11', '2583.008', '4486.909', '30.00']"
351,"['3.46', '-7.30', '6.79', '2587.891', '4750.845', '30.00']"
352,"['-0.56', '0.38', '-1.26', '2583.008', '4486.909', '30.00']"
353,"['-4.59', '2.94', '-6.26', '2583.008', '4486.909', '30.00']"
354,"['-5.20', '11.24', '-11.01', '2583.008', '4486.909', '30.00']"
355,"['-0.38', '2.09', '-0.95', '2563.477', '3431.166', '30.00']"
356,"['1.14', '1.17', '-1.69', '2573.242', '3959.037', '30.00']"
357,"['5.29', '-6.33', '6.61', '2583.008', '4486.909', '30.00']"
358,"['3.10', '-6.39', '2.46', '2587.891', '4750.845', '30.00']"
359,"['4.50', '-5.23', '4.96', '2568.359', '3695.101', '30.00']"
360,"['-1.54', '-5.47', '-2.42', '2578.125', '4222.973', '30.00']"
361,"['-2.82', '4.53', '-0.10', '2553.711', '2903.294', '30.00']"
362,"['-1.60', '5.44', '-2.05', '2558.594', '3167.229', '30.00']"
