0,1,2,3
3.40,-4.43,8.86,-2.63936
12.18,-11.87,18.12,-2.90329
4.37,-12.60,5.99,-2.63936
-1.05,-9.61,0.93,-2.37542
-0.14,-7.97,3.00,-1.84755
-1.54,-10.22,1.11,-2.11149
0.41,4.53,0.26,-2.63936
-0.26,3.98,-3.58,-2.63936
3.89,7.15,-4.92,-3.43117
3.09,-2.91,0.75,-1.58361
0.78,-3.15,2.76,-2.63936
10.65,6.60,9.16,-2.37542
-0.26,-0.83,-1.20,-2.63936
1.20,-2.24,9.34,-2.63936
4.80,-5.41,2.64,-2.37542
7.54,-9.49,4.65,-2.37542
6.69,-8.40,4.28,-2.37542
2.00,-3.94,2.70,-3.16723
-0.50,-7.36,0.38,-3.16723
5.10,-12.72,4.71,-2.63936
1.69,-5.65,7.70,-2.63936
-5.20,0.81,-3.89,-2.90329
4.80,-5.53,9.28,-2.63936
3.70,-10.71,1.23,-3.43117
4.01,-15.96,9.04,-2.11149
2.06,-4.43,1.78,-3.16723
0.04,-10.29,3.06,-1.84755
1.02,-12.79,1.42,-2.63936
-1.85,-5.22,-4.86,-2.11149
-0.99,2.82,-3.22,-3.16723
-3.80,-3.88,0.69,-2.11149
-5.02,3.37,-9.74,-3.16723
1.45,4.84,-1.02,-3.69510
-0.87,5.93,-7.00,-2.63936
7.00,6.91,3.80,-2.90329
-5.93,3.80,-7.12,-1.84755
0.29,5.51,-8.22,-2.37542
-1.05,2.21,-4.68,-1.84755
-11.18,12.09,-8.83,-1.84755
-2.52,13.49,-2.36,-2.11149
-1.30,13.49,-1.39,-2.37542
-7.82,6.67,-8.64,-1.05574
2.30,7.70,-2.49,-2.90329
-1.42,5.08,-5.47,-2.37542
-3.31,15.81,-8.40,-2.11149
-0.02,10.75,0.99,-2.63936
-3.13,12.52,-5.41,-1.58361
-2.03,11.79,-6.63,-1.05574
1.02,8.19,-0.47,-2.63936
1.20,-7.60,5.20,-2.11149
1.87,-3.88,6.72,-2.37542
-0.87,-5.16,-0.11,-3.16723
13.76,-7.48,9.59,-2.11149
2.91,-11.69,6.36,-2.37542
1.87,-6.50,8.55,-2.63936
-2.40,3.37,-0.47,-2.11149
-2.70,7.15,-6.39,-1.84755
-3.80,7.09,-4.13,-0.26394
-4.04,10.45,0.99,-3.43117
-0.20,10.14,-1.08,-2.63936
0.17,9.78,-2.42,-2.90329
-1.66,5.81,1.36,-1.84755
-1.36,4.23,-1.81,-2.37542
2.06,-5.47,4.77,-2.90329
-0.32,1.18,-0.90,-2.63936
3.52,-9.80,9.71,-2.90329
4.37,-3.76,5.08,-2.37542
1.75,1.67,-1.27,-2.11149
1.51,-5.77,8.37,-2.90329
6.26,-8.52,4.16,-2.63936
3.52,-6.75,9.22,-2.37542
8.15,-7.36,14.10,-2.37542
0.53,-4.37,1.54,-1.05574
1.87,-6.26,6.66,-1.05574
-1.85,-9.74,11.84,-2.63936
-0.93,-6.87,8.31,-2.90329
1.26,-2.85,2.09,-3.16723
11.51,13.13,0.93,-2.37542
4.92,8.01,8.86,-2.63936
-1.42,13.25,-0.78,-2.11149
-5.93,10.08,-5.11,-1.58361
-1.60,7.21,-3.52,-0.79181
0.29,3.68,-4.80,-2.63936
-0.81,5.75,-10.29,-2.11149
2.00,5.87,5.44,-3.16723
0.35,-4.19,1.54,-2.63936
-0.38,-5.59,6.72,-2.90329
0.17,-5.53,2.33,-3.43117
2.54,-7.36,7.88,-2.11149
-0.38,-13.58,0.93,-2.90329
-3.43,-10.10,-2.61,-1.58361
-2.58,-5.04,-0.29,-1.05574
-2.82,-7.36,-1.14,-2.37542
4.80,-11.44,6.66,-2.90329
-6.91,-9.98,-3.46,-1.05574
0.47,-5.53,6.90,-2.11149
5.90,-8.82,3.61,-3.16723
9.43,-13.70,11.48,-2.90329
2.12,-5.29,4.83,-2.63936
-1.24,-7.54,7.03,-2.63936
3.28,-8.03,10.20,-3.16723
-1.60,-1.32,4.77,-1.84755
-0.14,-6.38,7.15,-3.16723
2.00,-6.14,4.83,-2.63936
-0.87,-9.13,3.37,-2.90329
2.60,-5.16,8.12,-3.95904
0.84,4.78,-3.58,-2.90329
2.60,5.75,4.89,-2.63936
-1.05,8.80,-2.06,-2.37542
-3.74,6.85,-5.41,-1.31968
-0.38,10.20,-6.08,-2.11149
1.32,6.30,-3.83,-1.84755
-2.46,3.25,-4.68,-2.37542
-1.85,-11.14,-0.11,-2.37542
0.17,-10.65,-1.02,-2.11149
4.43,-8.82,2.03,-2.90329
1.08,-8.33,7.03,-2.37542
7.42,1.85,4.34,-2.37542
-3.13,11.60,0.62,-1.58361
-1.30,5.81,-5.84,-1.84755
-6.18,7.03,-7.67,-1.58361
-7.46,-3.27,-2.00,-1.84755
4.74,-9.92,6.05,-2.63936
-5.26,-0.65,-5.60,-2.37542
5.41,-11.08,11.36,-3.43117
4.68,3.74,-4.50,-3.16723
-2.70,12.40,-3.77,-2.90329
-2.33,5.02,-2.24,-2.37542
-3.86,-3.94,0.87,-3.43117
2.97,-9.13,6.90,-2.90329
0.17,-7.79,-0.84,-2.63936
0.59,2.40,-5.53,-2.90329
-1.60,-4.68,3.61,-2.63936
2.85,-3.15,7.70,-2.37542
-4.29,-4.74,5.32,-1.84755
-2.15,3.19,-3.16,-3.43117
-2.03,0.14,-4.50,-2.37542
2.24,8.01,-9.25,-2.11149
-0.20,-0.65,-1.81,-2.63936
2.30,-15.04,5.01,-2.37542
-2.40,8.31,-9.62,-2.37542
-3.00,12.40,-2.12,-2.37542
-2.33,10.63,-2.00,-2.63936
-8.13,5.26,-0.78,-2.11149
-5.32,9.47,-1.39,-1.05574
-3.07,12.52,-0.60,-2.37542
1.14,9.17,1.66,-2.37542
-5.02,10.75,-6.69,-3.16723
-4.47,8.56,-5.41,-2.37542
-0.44,2.15,-3.77,-0.26394
-8.37,14.65,-5.23,-2.37542
3.09,9.84,-4.01,-1.84755
-3.43,11.60,-2.42,-1.58361
-2.46,3.01,3.92,-1.31968
-3.68,5.02,-12.00,-1.84755
-1.30,4.10,-2.97,-2.11149
3.52,4.17,-2.97,-2.11149
-2.33,6.60,-4.80,-2.37542
-3.25,6.00,-4.01,-1.31968
-8.37,12.40,-10.53,-2.11149
-1.66,9.96,-1.94,-3.16723
3.95,6.42,0.75,-2.37542
1.69,7.95,-2.30,-2.63936
3.89,2.09,9.22,-1.31968
-0.44,-0.77,-7.73,-1.58361
-1.42,-6.38,6.17,-2.37542
-0.02,-8.15,1.54,-3.16723
-1.36,-10.22,0.20,-2.11149
3.76,-11.75,3.12,-2.90329
1.39,-4.43,-4.13,-1.84755
2.18,-13.70,7.64,-2.63936
2.36,-12.91,2.39,-2.11149
4.37,-10.96,7.45,-1.58361
6.20,-11.75,12.76,-2.11149
2.06,-12.91,0.75,-2.37542
-0.87,2.34,-2.67,-2.63936
4.37,7.82,-0.84,-2.37542
-1.42,5.39,-0.90,-2.63936
4.31,4.78,-0.66,-2.63936
1.02,-6.87,5.20,-2.37542
4.98,-6.08,6.90,-1.58361
-1.36,-5.29,5.26,-2.63936
3.09,-6.14,8.37,-2.11149
5.78,-6.57,11.36,-1.58361
0.41,-7.36,4.71,-2.63936
2.18,-8.64,8.06,-1.58361
5.29,-6.14,11.36,-2.63936
4.50,-9.13,10.50,-2.11149
1.32,11.30,-0.84,-2.63936
-6.85,6.12,-6.08,-2.37542
