,x-axis,y-axis,z-axis,volatge,current
303,-2.7,-4.12,-1.77,2436.523,-3431.166
304,-1.48,8.74,4.39,2446.289,-2903.294
305,1.02,-14.43,0,2470.703,-1583.615
306,-0.63,8.2,3.3,2446.289,-2903.294
307,-0.87,-10.83,-0.61,2465.82,-1847.551
308,-2.82,14.23,2.99,2456.055,-2375.422
309,1.39,-13.27,-5.3,2446.289,-2903.294
310,-2.82,9.78,2.26,2441.406,-3167.229
311,3.34,-8.51,-4.14,2441.406,-3167.229
312,-1.24,9.11,0.67,2446.289,-2903.294
313,3.52,-8.82,-0.61,2451.172,-2639.358
314,-3,5.39,-3.47,2470.703,-1583.615
315,1.94,-2.48,-1.64,2441.406,-3167.229
316,-2.21,2.65,-0.12,2460.937,-2111.487
317,-0.87,-0.4,0.25,2441.406,-3167.229
318,0.72,0.33,-1.58,2456.055,-2375.422
319,-1.6,-1.26,0.19,2441.406,-3167.229
320,-1.48,-2.66,-4.33,2436.523,-3431.166
321,2.3,-7.23,3.36,2441.406,-3167.229
322,-2.82,4.72,-3.96,2451.172,-2639.358
323,2.36,-5.46,1.83,2446.289,-2903.294
324,-1.85,-5.46,-0.79,2446.289,-2903.294
325,3.7,3.8,3.3,2446.289,-2903.294
326,-1.66,-8.27,-4.27,2436.523,-3431.166
327,1.26,9.9,1.1,2451.172,-2639.358
328,0.65,-10.89,-5.18,2456.055,-2375.422
329,-2.7,7.4,1.16,2426.758,-3959.037
330,3.46,-12.11,-4.81,2441.406,-3167.229
331,-3.43,4.11,-1.77,2436.523,-3431.166
332,1.94,-11.13,1.34,2441.406,-3167.229
333,0.35,5.76,1.65,2451.172,-2639.358
334,3.34,-7.78,1.59,2475.586,-1319.679
335,-2.52,5.82,-5.42,2436.523,-3431.166
336,2.18,-6.8,4.09,2451.172,-2639.358
337,-1.3,5.15,-1.4,2451.172,-2639.358
338,0.17,-8.27,6.59,2446.289,-2903.294
339,-1.66,8.74,0,2446.289,-2903.294
340,1.87,2.52,-0.24,2441.406,-3167.229
341,0.78,-1.56,-2.56,2426.758,-3959.037
342,2,-0.59,3.17,2451.172,-2639.358
343,1.26,8.68,2.38,2451.172,-2639.358
344,-0.02,0.21,0.19,2460.937,-2111.487
345,1.33,-6.2,1.65,2465.82,-1847.551
346,0.11,12.65,-1.7,2451.172,-2639.358
347,-1.17,-8.57,2.38,2470.703,-1583.615
348,3.22,3.44,-2.13,2436.523,-3431.166
349,-2.76,-1.38,-3.35,2431.641,-3695.101
350,4.19,-8.02,5.49,2470.703,-1583.615
351,-5.08,9.96,-8.11,2436.523,-3431.166
352,4.86,-15.71,12.2,2441.406,-3167.229
353,-4.71,-3.82,-1.89,2456.055,-2375.422
354,2.06,1.06,2.93,2441.406,-3167.229
355,0.59,-4.98,-4.94,2451.172,-2639.358
