0,1,2,3,4
51.48,-67.39,-74.42,4.90234,-2.63936
-36.27,43.03,7.59,4.99023,-0.26394
20.32,-15.93,-79.97,4.98047,-0.52787
-111.81,47.54,12.77,4.95117,-1.31968
-40.41,8.64,28.20,4.93164,-1.84755
61.11,-62.21,-62.05,4.98047,-0.52787
16.78,89.19,-37.78,4.98047,-0.52787
-93.34,40.41,-1.56,4.99023,-0.26394
59.28,-8.86,-64.12,4.96094,-1.05574
145.81,-72.21,-28.51,4.93164,-1.84755
-120.47,47.06,-1.07,4.84375,-4.22297
-11.51,59.98,-61.80,4.84375,-4.22297
91.96,-25.44,-55.22,4.86328,-3.69510
-67.55,40.47,-0.28,4.90234,-2.63936
0.50,-51.48,-51.25,4.90234,-2.63936
63.79,-87.45,-108.51,4.77539,-6.07052
-97.30,15.04,12.83,4.88281,-3.16723
97.27,-59.47,-77.17,4.84375,-4.22297
-88.89,85.71,-9.43,4.89258,-2.90329
46.48,10.17,-58.45,4.93164,-1.84755
61.36,3.03,-86.50,4.90234,-2.63936
-60.05,87.06,22.46,4.86328,-3.69510
90.32,-91.42,-51.74,4.89258,-2.90329
-22.55,-11.97,1.61,4.87305,-3.43117
73.31,60.47,-65.03,4.90234,-2.63936
105.56,-17.58,-84.18,4.90234,-2.63936
-30.84,74.62,44.29,4.89258,-2.90329
171.42,-46.42,-94.06,4.84375,-4.22297
-67.00,38.70,3.07,4.91211,-2.37542
163.98,-72.70,-69.12,4.92187,-2.11149
-76.75,96.63,6.00,4.88281,-3.16723
60.62,-66.42,-71.50,4.89258,-2.90329
-77.97,67.12,-45.10,4.98047,-0.52787
5.08,38.64,-31.99,4.92187,-2.11149
109.65,-47.88,-108.51,4.90234,-2.63936
-104.01,89.01,21.92,4.97070,-0.79181
83.00,-50.69,-102.78,4.88281,-3.16723
-29.62,-0.99,-7.90,4.89258,-2.90329
-22.24,-37.03,-1.86,4.89258,-2.90329
99.22,-43.92,-52.78,4.98047,-0.52787
-107.61,62.06,9.66,4.84375,-4.22297
105.68,-24.53,-108.21,4.90234,-2.63936
-74.01,95.53,-8.88,4.90234,-2.63936
-31.88,91.08,-12.41,4.94141,-1.58361
103.55,-68.12,-92.29,4.88281,-3.16723
-22.61,100.11,0.76,4.90234,-2.63936
150.56,-78.92,-35.22,4.89258,-2.90329
-79.07,32.54,-13.45,4.85352,-3.95904
63.49,46.02,-87.47,4.91211,-2.37542
-55.35,100.41,1.00,4.94141,-1.58361
45.50,20.29,-51.32,4.92187,-2.11149
67.09,-87.21,-4.36,4.84375,-4.22297
-51.88,22.36,-40.89,4.89258,-2.90329
-8.03,60.04,-29.73,4.93164,-1.84755
-11.27,40.11,-59.30,4.93164,-1.84755
-53.89,55.72,-8.21,4.91211,-2.37542
31.78,-40.56,-8.94,4.87305,-3.43117
57.64,-11.85,-102.41,4.81445,-5.01478
-74.07,53.58,-3.02,4.81445,-5.01478
31.90,3.83,-72.90,4.83398,-4.48691
-5.60,117.12,4.54,4.91211,-2.37542
22.39,-7.27,-16.07,4.98047,-0.52787
133.61,-50.44,-81.92,4.96094,-1.05574
-109.07,65.04,2.40,4.91211,-2.37542
134.65,2.73,-84.42,4.91211,-2.37542
16.84,-29.04,-81.99,4.91211,-2.37542
-201.02,41.33,5.33,4.94141,-1.58361
153.31,-94.71,-56.62,4.83398,-4.48691
-113.03,65.53,7.16,5.02930,0.79181
12.03,31.87,-73.27,5.02930,0.79181
37.27,7.85,-136.62,4.88281,-3.16723
-3.10,66.02,-39.61,5.00000,0.00000
103.25,-28.31,-78.02,4.92187,-2.11149
-65.11,86.39,3.44,4.86328,-3.69510
57.64,-78.31,-83.69,4.87305,-3.43117
-116.26,84.68,25.82,4.92187,-2.11149
17.94,-59.77,-43.27,4.89258,-2.90329
15.26,24.56,-41.25,4.86328,-3.69510
154.28,7.12,-61.01,5.00977,0.26394
-92.30,61.14,4.54,4.92187,-2.11149
50.56,42.54,-85.64,4.86328,-3.69510
