0
"['-1.05574', '28.00']"
"['', '28.00']"
"['-2.81', '7.04', '-4.98', '5.00977', '0.26394', '28.00']"
"['0.30', '-0.16', '-1.38', '5.02930', '0.79181', '28.00']"
"['-1.47', '3.62', '-1.20', '5.02930', '0.79181', '28.00']"
"['0.36', '4.84', '-2.30', '4.97070', '-0.79181', '28.00']"
"['3.17', '-8.27', '2.27', '4.97070', '-0.79181', '28.00']"
"['3.47', '-6.68', '4.96', '4.99023', '-0.26394', '28.00']"
"['1.52', '-3.57', '3.98', '5.00000', '0.00000', '28.00']"
"['2.07', '-2.60', '2.58', '4.97070', '-0.79181', '28.00']"
"['2.92', '-2.05', '-1.51', '4.98047', '-0.52787', '28.00']"
"['4.57', '-9.85', '1.24', '4.99023', '-0.26394', '28.00']"
"['2.56', '-4.30', '4.23', '5.00977', '0.26394', '28.00']"
"['-2.01', '-0.83', '0.26', '5.00000', '0.00000', '28.00']"
"['-0.92', '0.15', '-1.99', '4.97070', '-0.79181', '28.00']"
"['0.49', '1.00', '2.34', '4.94141', '-1.58361', '28.00']"
"['-0.80', '5.76', '-0.71', '5.02930', '0.79181', '28.00']"
"['-3.84', '7.95', '-2.73', '4.98047', '-0.52787', '28.00']"
"['-7.01', '8.68', '-3.46', '4.97070', '-0.79181', '28.00']"
"['-1.53', '2.40', '-1.93', '4.96094', '-1.05574', '28.00']"
"['1.58', '0.03', '0.51', '5.00977', '0.26394', '28.00']"
"['4.75', '-7.35', '4.53', '4.98047', '-0.52787', '28.00']"
"['-0.00', '-3.88', '2.82', '4.98047', '-0.52787', '28.00']"
"['2.13', '-1.62', '6.79', '4.98047', '-0.52787', '28.00']"
"['6.46', '-6.93', '6.18', '5.01953', '0.52787', '28.00']"
"['3.66', '-5.89', '5.38', '5.00977', '0.26394', '28.00']"
"['2.31', '-6.86', '2.76', '4.98047', '-0.52787', '28.00']"
"['2.13', '-6.19', '-3.64', '5.00000', '0.00000', '28.00']"
"['-3.23', '1.18', '-4.68', '4.92187', '-2.11149', '28.00']"
"['-2.08', '4.96', '-3.27', '4.99023', '-0.26394', '28.00']"
"['-0.49', '2.83', '4.16', '5.00977', '0.26394', '28.00']"
"['-4.70', '6.18', '-5.16', '4.99023', '-0.26394', '28.00']"
"['-4.76', '9.96', '-4.25', '4.98047', '-0.52787', '28.00']"
"['-3.66', '7.71', '1.66', '4.98047', '-0.52787', '28.00']"
"['-1.59', '9.17', '-0.71', '4.95117', '-1.31968', '28.00']"
"['2.07', '-3.21', '-1.20', '4.99023', '-0.26394', '28.00']"
"['0.55', '1.00', '-3.21', '5.03906', '1.05574', '28.00']"
"['3.23', '-2.72', '3.43', '5.00000', '0.00000', '28.00']"
"['4.39', '-3.33', '6.48', '4.99023', '-0.26394', '28.00']"
"['5.55', '-7.47', '9.96', '4.97070', '-0.79181', '28.00']"
"['-0.43', '-2.47', '0.45', '4.97070', '-0.79181', '28.00']"
"['3.17', '-9.67', '1.66', '4.99023', '-0.26394', '28.00']"
"['-0.67', '-1.80', '-2.79', '5.00000', '0.00000', '28.00']"
"['-2.44', '1.79', '-2.91', '4.98047', '-0.52787', '28.00']"
"['-4.21', '5.94', '-4.31', '4.93164', '-1.84755', '28.00']"
"['-2.69', '-0.10', '-3.82', '5.00000', '0.00000', '28.00']"
"['-4.09', '7.89', '-4.19', '4.98047', '-0.52787', '28.00']"
"['-4.70', '8.38', '-4.25', '5.00000', '0.00000', '28.00']"
"['4.69', '-0.65', '10.14', '5.02930', '0.79181', '28.00']"
"['1.10', '-2.05', '0.51', '4.97070', '-0.79181', '28.00']"
"['3.17', '-9.36', '-1.57', '4.97070', '-0.79181', '28.00']"
"['1.34', '-1.07', '-3.15', '4.97070', '-0.79181', '28.00']"
"['3.90', '-5.22', '4.96', '4.97070', '-0.79181', '28.00']"
"['3.60', '-4.73', '3.01', '4.97070', '-0.79181', '28.00']"
"['2.31', '-0.65', '3.37', '4.99023', '-0.26394', '28.00']"
"['1.83', '-6.68', '0.57', '5.02930', '0.79181', '28.00']"
"['-0.61', '2.59', '-2.91', '5.01953', '0.52787', '28.00']"
"['1.22', '-3.69', '3.92', '4.99023', '-0.26394', '28.00']"
"['-3.05', '0.94', '-3.64', '5.00000', '0.00000', '28.00']"
"['-3.11', '5.27', '-4.74', '4.99023', '-0.26394', '28.00']"
"['-3.30', '4.17', '-4.13', '5.00977', '0.26394', '28.00']"
"['-2.93', '6.85', '-2.05', '5.00977', '0.26394', '28.00']"
"['-3.36', '8.07', '-2.85', '5.00977', '0.26394', '28.00']"
"['-0.12', '-0.89', '1.42', '4.96094', '-1.05574', '28.00']"
"['2.25', '-3.63', '-2.97', '4.98047', '-0.52787', '28.00']"
"['0.67', '-4.43', '-1.69', '4.97070', '-0.79181', '28.00']"
"['4.33', '-8.33', '5.32', '5.00000', '0.00000', '28.00']"
"['4.08', '-4.97', '5.51', '4.97070', '-0.79181', '28.00']"
"['5.00', '-4.55', '6.12', '4.98047', '-0.52787', '28.00']"
"['2.62', '-2.90', '1.48', '5.00000', '0.00000', '28.00']"
"['1.28', '-6.80', '2.40', '4.99023', '-0.26394', '28.00']"
"['2.50', '-3.75', '3.43', '5.01953', '0.52787', '28.00']"
