x-axis,y-axis,z-axis,voltage,current,temp
-1.13,7.11,-0.91,5.12695,3.43117,24
0.64,-2.34,1.29,5.08789,2.37542,24
2.9,-8.56,4.52,5.10742,2.90329,24
5.15,-4.66,12.57,5.06836,1.84755,24
3.2,-4.48,1.83,5.09766,2.63936,24
-3.38,7.53,-3.23,5.07812,2.11149,24
-4.11,4.36,-2.07,5.08789,2.37542,24
0.7,-7.1,-4.26,5.03906,1.05574,24
1.5,-3.2,1.53,5.09766,2.63936,24
4,-10.45,4.03,5.07812,2.11149,24
2.9,-7.59,-3.59,5.08789,2.37542,24
0.4,2.35,2.14,5.04883,1.31968,24
-2.95,8.51,-5.12,5.07812,2.11149,24
0.83,3.14,0.74,5.09766,2.63936,24
4.48,-9.97,1.53,5.08789,2.37542,24
4.12,-9.11,3.85,5.07812,2.11149,24
4.67,-7.53,2.75,5.12695,3.43117,24
1.62,-5.82,-6.89,5.07812,2.11149,24
-4.17,3.02,-5.91,5.06836,1.84755,24
-3.26,6.01,-2.62,5.11719,3.16723,24
1.92,-0.39,2.26,5.07812,2.11149,24
3.2,-10.27,15.68,5.0293,0.79181,24
2.72,-3.75,1.22,5.08789,2.37542,24
2.05,-3.99,0.74,5.09766,2.63936,24
-2.65,1.01,-0.97,5.05859,1.58361,24
-3.02,10.03,1.96,5.06836,1.84755,24
-0.82,2.35,-0.85,5.06836,1.84755,24
1.37,-5.09,1.22,5.10742,2.90329,24
4.06,-10.03,3.6,5.07812,2.11149,24
1.86,-5.39,2.5,5.07812,2.11149,24
1.5,2.53,1.41,5.11719,3.16723,24
-2.59,10.83,-3.04,5.0293,0.79181,24
-2.71,6.25,-3.41,5.10742,2.90329,24
1.86,0.22,1.41,5.07812,2.11149,24
3.08,-10.45,0,5.09766,2.63936,24
2.35,0.28,2.63,5.06836,1.84755,24
1.56,-5.03,4.64,5.07812,2.11149,24
4.97,-13.69,2.63,5.07812,2.11149,24
6.01,-8.32,4.21,5.11719,3.16723,24
-3.63,8.69,-0.73,5.08789,2.37542,24
-5.88,10.28,-0.79,5.09766,2.63936,24
-3.26,6.86,2.02,5.08789,2.37542,24
4.55,-10.09,3.36,5.09766,2.63936,24
