,x-axis,y-axis,z-axis,volatge,current
353,2.02,5.38,-1.06,2456.055,-2375.422
354,-2.25,-13.34,-0.26,2495.117,-263.936
355,-2.19,-1.15,-3.01,2441.406,-3167.229
356,-2.43,8.3,-0.81,2446.289,-2903.294
357,0.43,1.41,1.69,2441.406,-3167.229
358,0.62,-8.47,-7.03,2431.641,-3695.101
359,0.8,-1.09,-0.39,2441.406,-3167.229
360,-0.6,3.73,6.26,2509.766,527.872
361,0.8,-7.8,3.03,2421.875,-4222.973
362,-3.59,-13.71,-0.14,2436.523,-3431.166
363,-1.76,8.06,-4.65,2407.227,-5014.78
364,2.2,13.18,-0.14,2412.109,-4750.845
365,3.3,-8.53,5.22,2456.055,-2375.422
366,-1.46,-15.84,0.35,2436.523,-3431.166
367,-3.77,-2.43,-1.3,2446.289,-2903.294
368,0.43,18.97,2.6,2426.758,-3959.037
369,5.01,9.46,2.54,2480.469,-1055.743
370,-0.05,-7,6.14,2426.758,-3959.037
371,-2.19,0.68,-0.93,2465.82,-1847.551
372,-0.42,17.63,-5.69,2451.172,-2639.358
373,2.93,10.31,-6.73,2436.523,-3431.166
374,2.14,0.07,-2.28,2436.523,-3431.166
375,0.5,2.88,8.09,2426.758,-3959.037
376,1.04,-3.71,1.2,2441.406,-3167.229
377,-0.6,-3.53,-6.48,2436.523,-3431.166
378,-0.91,1.72,-4.04,2500,0
379,2.26,5.13,-1.24,2465.82,-1847.551
380,0.92,-12.06,0.1,2421.875,-4222.973
381,-0.79,3,-2.15,2470.703,-1583.615
382,0.19,6.41,0.96,2465.82,-1847.551
383,1.84,-6.88,4.31,2456.055,-2375.422
384,-4.38,-5.6,-2.7,2451.172,-2639.358
385,-2.13,4.95,-2.15,2465.82,-1847.551
386,2.2,4.46,0.16,2426.758,-3959.037
387,2.63,-10.11,2.05,2495.117,-263.936
388,-1.15,-0.84,-2.28,2412.109,-4750.845
389,2.51,14.34,-0.69,2412.109,-4750.845
390,1.78,-1.51,-1.12,2431.641,-3695.101
391,-1.58,3.06,-1.91,2470.703,-1583.615
392,-2.31,3.06,1.32,2416.992,-4486.909
393,-1.33,5.99,-3.19,2465.82,-1847.551
394,-2,-6.33,-4.23,2426.758,-3959.037
395,-1.15,-9.01,5.22,2470.703,-1583.615
396,-1.94,0.44,-0.32,2441.406,-3167.229
397,0.19,-4.99,-0.39,2441.406,-3167.229
398,-1.09,0.5,6.99,2460.937,-2111.487
399,2.2,9.83,1.99,2436.523,-3431.166
400,0.37,-2.43,-5.08,2495.117,-263.936
401,-1.03,5.56,7.11,2451.172,-2639.358
402,-0.24,5.25,-0.57,2387.695,-6070.524
403,-0.36,0.62,-4.41,2387.695,-6070.524
404,-0.91,-0.23,4.55,2485.352,-791.807
405,3.54,5.86,-7.64,2421.875,-4222.973
406,0.13,-11.82,4.37,2436.523,-3431.166
407,1.29,1.9,2.6,2529.297,1583.615
408,1.71,-6.51,-3.13,2421.875,-4222.973
409,-3.1,2.45,1.75,2495.117,-263.936
410,-0.91,1.23,0.96,2436.523,-3431.166
411,-1.64,-6.39,-1.97,2407.227,-5014.78
412,-3.29,10.5,-1.97,2412.109,-4750.845
413,-0.11,-1.76,-2.82,2387.695,-6070.524
414,-0.66,-4.38,0.35,2465.82,-1847.551
415,3.6,5.92,1.63,2504.883,263.936
416,-0.18,-8.89,-3.92,2431.641,-3695.101
417,-2.49,1.17,-0.81,2446.289,-2903.294
418,3.79,-0.54,0.53,2402.344,-5278.716
419,-1.09,-14.93,-1.3,2460.937,-2111.487
420,-1.21,6.6,0.65,2500,0
421,0.86,6.29,3.7,2441.406,-3167.229
422,-2.25,-4.01,-3.01,2460.937,-2111.487
423,-0.54,10.13,1.81,2451.172,-2639.358
424,0.07,-1.7,-1.73,2407.227,-5014.78
425,-2.55,-2.31,-2.28,2416.992,-4486.909
426,-0.85,8.06,0.16,2446.289,-2903.294
427,4.09,-7.12,0.65,2451.172,-2639.358
428,-3.04,-2.67,-0.51,2402.344,-5278.716
429,3.54,5.5,1.63,2441.406,-3167.229
430,4.28,-7.19,-0.45,2460.937,-2111.487
431,-1.15,-5.3,-2.15,2402.344,-5278.716
432,1.78,5.74,0.53,2456.055,-2375.422
433,3.97,-11.58,-2.52,2436.523,-3431.166
434,-0.97,-2.37,-3.92,2465.82,-1847.551
435,3.97,6.35,1.08,2470.703,-1583.615
436,3.06,-9.69,-3.31,2490.234,-527.872
437,0.37,2.08,-1.73,2431.641,-3695.101
438,-2.19,14.28,2.18,2446.289,-2903.294
439,-1.7,3.49,3.64,2358.398,-7654.139
440,-2.37,-9.69,-0.81,2490.234,-527.872
441,-2.13,-2.19,-1.91,2416.992,-4486.909
442,4.03,5.19,2.48,2470.703,-1583.615
443,3.06,-8.59,-3.86,2436.523,-3431.166
444,-1.52,-4.93,-1.6,2446.289,-2903.294
445,2.08,7.27,1.75,2456.055,-2375.422
446,3.54,-8.04,-1.24,2426.758,-3959.037
