0
"['', '4.93164', '-1.84755', '24.00']"
"['6.07', '3.68', '1.51', '4.85352', '-3.95904', '24.00']"
"['2.65', '5.69', '-0.75', '4.86328', '-3.69510', '24.00']"
"['-3.75', '-8.15', '0.35', '4.87305', '-3.43117', '24.00']"
"['9.05', '12.64', '-0.75', '4.90234', '-2.63936', '24.00']"
"['-2.10', '-4.31', '0.41', '4.85352', '-3.95904', '24.00']"
"['5.15', '3.13', '-0.38', '4.85352', '-3.95904', '24.00']"
"['0.15', '7.03', '1.63', '4.89258', '-2.90329', '24.00']"
"['-6.74', '-11.44', '1.57', '4.91211', '-2.37542', '24.00']"
"['6.07', '9.29', '-0.26', '4.85352', '-3.95904', '24.00']"
"['-0.88', '2.28', '0.47', '4.86328', '-3.69510', '24.00']"
"['4.30', '2.03', '-0.02', '4.86328', '-3.69510', '24.00']"
"['0.95', '5.94', '-0.81', '4.87305', '-3.43117', '24.00']"
"['-1.25', '-1.14', '-6.36', '4.87305', '-3.43117', '24.00']"
"['3.99', '6.06', '-1.73', '4.91211', '-2.37542', '24.00']"
"['-3.69', '-3.15', '-0.08', '4.88281', '-3.16723', '24.00']"
"['9.36', '12.09', '0.04', '4.84375', '-4.22297', '24.00']"
"['-4.54', '-0.47', '1.99', '4.91211', '-2.37542', '24.00']"
"['3.75', '-0.04', '-1.36', '4.90234', '-2.63936', '24.00']"
"['-0.76', '5.08', '3.40', '4.87305', '-3.43117', '24.00']"
"['0.95', '-6.44', '0.04', '4.85352', '-3.95904', '24.00']"
"['-1.74', '4.29', '0.16', '4.84375', '-4.22297', '24.00']"
"['2.65', '2.09', '-1.18', '4.92187', '-2.11149', '24.00']"
"['-6.19', '-4.67', '1.08', '4.91211', '-2.37542', '24.00']"
"['6.31', '4.78', '-0.51', '4.91211', '-2.37542', '24.00']"
"['-3.26', '-4.86', '0.90', '4.87305', '-3.43117', '24.00']"
"['7.10', '11.42', '-0.81', '4.87305', '-3.43117', '24.00']"
"['-2.71', '-4.98', '1.26', '4.84375', '-4.22297', '24.00']"
"['3.87', '1.73', '-3.25', '4.88281', '-3.16723', '24.00']"
"['-1.98', '-5.10', '-0.69', '4.88281', '-3.16723', '24.00']"
"['6.07', '8.37', '-0.87', '4.87305', '-3.43117', '24.00']"
"['-5.58', '-7.24', '1.26', '4.91211', '-2.37542', '24.00']"
"['-4.85', '1.73', '0.53', '4.89258', '-2.90329', '24.00']"
"['1.31', '-3.27', '-0.51', '4.87305', '-3.43117', '24.00']"
"['-3.75', '2.15', '1.81', '4.91211', '-2.37542', '24.00']"
"['7.71', '7.46', '0.29', '4.89258', '-2.90329', '24.00']"
"['-3.45', '-6.08', '2.91', '4.89258', '-2.90329', '24.00']"
"['0.88', '8.07', '1.57', '4.86328', '-3.69510', '24.00']"
"['-2.47', '-3.21', '0.65', '4.89258', '-2.90329', '24.00']"
"['-4.66', '-10.28', '3.52', '4.88281', '-3.16723', '24.00']"
"['-0.64', '3.68', '1.45', '4.86328', '-3.69510', '24.00']"
"['5.64', '10.69', '0.65', '4.86328', '-3.69510', '24.00']"
"['-7.16', '-7.11', '2.66', '4.85352', '-3.95904', '24.00']"
"['3.32', '-0.59', '-1.79', '4.83398', '-4.48691', '24.00']"
"['-0.40', '4.23', '3.70', '4.83398', '-4.48691', '24.00']"
"['-3.02', '-5.77', '2.85', '4.87305', '-3.43117', '24.00']"
"['1.74', '4.72', '-0.57', '4.91211', '-2.37542', '24.00']"
"['-4.60', '-13.76', '-1.85', '4.88281', '-3.16723', '24.00']"
"['2.71', '7.46', '-1.85', '4.86328', '-3.69510', '24.00']"
"['-4.79', '-9.06', '-1.12', '4.84375', '-4.22297', '24.00']"
"['6.19', '12.58', '-4.41', '4.86328', '-3.69510', '24.00']"
"['-2.23', '-2.05', '2.79', '4.90234', '-2.63936', '24.00']"
"['3.32', '3.80', '0.16', '4.89258', '-2.90329', '24.00']"
"['-5.52', '-1.69', '1.51', '4.87305', '-3.43117', '24.00']"
"['-4.91', '-7.54', '2.12', '4.91211', '-2.37542', '24.00']"
"['4.18', '4.47', '-1.30', '4.89258', '-2.90329', '24.00']"
"['1.86', '6.18', '-1.79', '4.85352', '-3.95904', '24.00']"
"['-4.12', '-7.60', '4.80', '4.81445', '-5.01478', '24.00']"
"['-4.36', '-5.28', '3.70', '4.87305', '-3.43117', '24.00']"
"['5.52', '5.08', '-1.42', '4.89258', '-2.90329', '24.00']"
"['2.41', '1.18', '-0.08', '4.87305', '-3.43117', '24.00']"
"['-5.64', '-5.89', '0.84', '4.84375', '-4.22297', '24.00']"
"['-3.08', '-4.37', '2.97', '4.86328', '-3.69510', '24.00']"
"['0.88', '-3.03', '-2.15', '4.86328', '-3.69510', '24.00']"
"['2.29', '5.08', '-1.42', '4.88281', '-3.16723', '24.00']"
"['1.80', '6.00', '1.32', '4.86328', '-3.69510', '24.00']"
"['-11.37', '-13.70', '-2.27', '4.89258', '-2.90329', '24.00']"
"['-5.09', '-7.60', '-3.62', '4.86328', '-3.69510', '24.00']"
"['3.63', '4.84', '-2.58', '4.85352', '-3.95904', '24.00']"
"['-1.68', '4.29', '-0.38', '4.93164', '-1.84755', '24.00']"
"['-4.24', '-7.60', '6.57', '4.87305', '-3.43117', '24.00']"
"['3.75', '5.51', '-0.32', '4.88281', '-3.16723', '24.00']"
"['-3.20', '2.22', '2.18', '4.87305', '-3.43117', '24.00']"
"['-2.59', '-4.49', '0.53', '4.90234', '-2.63936', '24.00']"
"['3.69', '6.24', '0.04', '4.86328', '-3.69510', '24.00']"
"['1.74', '6.24', '1.57', '4.88281', '-3.16723', '24.00']"
"['-8.14', '-11.38', '4.31', '4.88281', '-3.16723', '24.00']"
"['4.30', '4.78', '-1.79', '4.89258', '-2.90329', '24.00']"
"['-4.12', '1.18', '1.26', '4.90234', '-2.63936', '24.00']"
"['0.27', '-3.21', '3.40', '4.89258', '-2.90329', '24.00']"
"['1.92', '2.15', '0.65', '4.90234', '-2.63936', '24.00']"
"['0.34', '5.45', '0.16', '4.89258', '-2.90329', '24.00']"
"['-6.98', '-10.22', '-2.15', '4.87305', '-3.43117', '24.00']"
"['3.45', '3.19', '-2.03', '4.85352', '-3.95904', '24.00']"
"['1.07', '6.48', '-1.48', '4.84375', '-4.22297', '24.00']"
"['-9.05', '-12.48', '4.25', '4.85352', '-3.95904', '24.00']"
"['4.91', '7.03', '-0.14', '4.89258', '-2.90329', '24.00']"
